CPU: Intel Sandy Bridge microarchitecture, speed 2.301e+06 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 200000
samples  cum. samples  %        cum. %     linenr info                 image name               symbol name
1074     5398950        0.0193  97.1702    slub.c:4047                 vmlinux                  __kmalloc_node_track_caller
1069     5400019        0.0192  97.1895    eventpoll.c:897             vmlinux                  ep_poll_callback
1064     5401083        0.0191  97.2086    redis.c:441                 redis-server             dictEncObjKeyCompare
1060     5402143        0.0191  97.2277    fair.c:943                  vmlinux                  update_cfs_shares
1059     5403202        0.0191  97.2467    dev.c:2539                  vmlinux                  dev_queue_xmit
1048     5404250        0.0189  97.2656    adlist.c:160                redis-server             listDelNode
1043     5405293        0.0188  97.2844    entry_64.S:1046             vmlinux                  apic_timer_interrupt
1023     5406316        0.0184  97.3028    t_string.c:68               redis-server             setCommand
1009     5407325        0.0182  97.3209    fair.c:2407                 vmlinux                  effective_load.isra.27
1000     5408325        0.0180  97.3389    dev.c:2899                  vmlinux                  enqueue_to_backlog
993      5409318        0.0179  97.3568    fs-writeback.c:1149         vmlinux                  __mark_inode_dirty
990      5410308        0.0178  97.3746    tcp.c:1349                  vmlinux                  tcp_cleanup_rbuf
987      5411295        0.0178  97.3924    fair.c:685                  vmlinux                  update_curr
982      5412277        0.0177  97.4101    dev.c:3904                  vmlinux                  net_rx_action
982      5413259        0.0177  97.4277    read_write.c:423            vmlinux                  vfs_write
976      5414235        0.0176  97.4453    dev.c:2194                  vmlinux                  dev_hard_start_xmit
976      5415211        0.0176  97.4629    tcp_input.c:4593            vmlinux                  tcp_data_queue
970      5416181        0.0175  97.4803    entry_64.S:501              vmlinux                  system_call
966      5417147        0.0174  97.4977    memcontrol.c:842            vmlinux                  memcg_check_events
962      5418109        0.0173  97.5150    sds.c:129                   redis-server             sdsAllocSize
960      5419069        0.0173  97.5323    dev.c:3765                  vmlinux                  process_backlog
953      5420022        0.0172  97.5495    slub.c:3472                 vmlinux                  kfree
924      5420946        0.0166  97.5661    core.c:3607                 vmlinux                  __wake_up_common
913      5421859        0.0164  97.5825    skbuff.c:489                vmlinux                  skb_release_data
897      5422756        0.0161  97.5987    socket.c:1098               vmlinux                  sock_poll
889      5423645        0.0160  97.6147    swap.c:294                  vmlinux                  pagevec_lru_move_fn
888      5424533        0.0160  97.6307    hooks.c:4204                vmlinux                  selinux_socket_sock_rcv_skb
885      5425418        0.0159  97.6466    t_list.c:114                redis-server             listTypeLength
881      5426299        0.0159  97.6624    read_write.c:397            vmlinux                  do_sync_write
881      5427180        0.0159  97.6783    socket.c:918                vmlinux                  sock_aio_write
877      5428057        0.0158  97.6941    (no location information)   libc-2.16.so             epoll_ctl
869      5428926        0.0156  97.7097    networking.c:318            redis-server             addReplyString
861      5429787        0.0155  97.7252    srcu.c:299                  vmlinux                  __srcu_read_lock
861      5430648        0.0155  97.7407    fair.c:2697                 vmlinux                  select_task_rq_fair
856      5431504        0.0154  97.7561    skbuff.c:645                vmlinux                  __copy_skb_header
848      5432352        0.0153  97.7714    irq_64.c:95                 vmlinux                  do_softirq
837      5433189        0.0151  97.7864    core.c:2856                 vmlinux                  account_user_time
827      5434016        0.0149  97.8013    skbuff.c:597                vmlinux                  __kfree_skb
825      5434841        0.0148  97.8162    rmap.c:167                  vmlinux                  anon_vma_prepare
818      5435659        0.0147  97.8309    spinlock.c:152              vmlinux                  _raw_spin_lock_irq
818      5436477        0.0147  97.8456    af_inet.c:750               vmlinux                  inet_sendmsg
812      5437289        0.0146  97.8602    buffer.c:1105               vmlinux                  mark_buffer_dirty
804      5438093        0.0145  97.8747    buffer.c:1876               vmlinux                  __block_commit_write.isra.18
802      5438895        0.0144  97.8891    redis.c:715                 redis-server             clientsCronHandleTimeout
794      5439689        0.0143  97.9034    slub.c:2413                 vmlinux                  kmem_cache_alloc_node
790      5440479        0.0142  97.9177    rcutree.c:1640              vmlinux                  rcu_check_callbacks
785      5441264        0.0141  97.9318    skbuff.c:693                vmlinux                  __skb_clone
780      5442044        0.0140  97.9458    arena.c:250                 redis-server             arena_avail_insert
777      5442821        0.0140  97.9598    t_string.c:88               redis-server             getGenericCommand
775      5443596        0.0139  97.9738    vmstat.c:512                vmlinux                  zone_statistics
771      5444367        0.0139  97.9876    dev.c:2954                  vmlinux                  netif_rx
769      5445136        0.0138  98.0015    page_alloc.c:1600           vmlinux                  __zone_watermark_ok
767      5445903        0.0138  98.0153    object.c:53                 redis-server             createStringObjectFromLongLong
765      5446668        0.0138  98.0290    tcp_input.c:524             vmlinux                  tcp_rcv_space_adjust
764      5447432        0.0138  98.0428    sds.c:57                    redis-server             sdsempty
760      5448192        0.0137  98.0565    tcp_output.c:1575           vmlinux                  tcp_init_tso_segs
751      5448943        0.0135  98.0700    memcontrol.c:3125           vmlinux                  mem_cgroup_uncharge_page
750      5449693        0.0135  98.0835    rtc.c:199                   vmlinux                  native_read_tsc
749      5450442        0.0135  98.0970    loopback.c:74               vmlinux                  loopback_xmit
747      5451189        0.0134  98.1104    slub.c:3418                 vmlinux                  ksize
744      5451933        0.0134  98.1238    wait.c:251                  vmlinux                  __wake_up_bit
728      5452661        0.0131  98.1369    redis.c:408                 redis-server             dictRedisObjectDestructor
724      5453385        0.0130  98.1499    memcontrol.c:729            vmlinux                  mem_cgroup_charge_statistics.isra.13
720      5454105        0.0130  98.1629    ip_output.c:299             vmlinux                  ip_output
717      5454822        0.0129  98.1758    hooks.c:4707                vmlinux                  selinux_ip_postroute
714      5455536        0.0129  98.1886    ip_input.c:190              vmlinux                  ip_local_deliver_finish
713      5456249        0.0128  98.2015    swap.c:466                  vmlinux                  lru_cache_add_lru
711      5456960        0.0128  98.2143    memcontrol.c:3480           vmlinux                  mem_cgroup_bad_page_check
707      5457667        0.0127  98.2270    eventpoll.c:1332            vmlinux                  ep_send_events_proc
702      5458369        0.0126  98.2396    db.c:58                     redis-server             lookupKeyRead
